id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
1,1,2009-12-18,Avatar,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,avatar.jpg,http://www.imdb.com/title/tt0499549/?ref_=nv_sr_1,0,474012498,848212045,3104970334,2630957835,7.9,7.5,0,0,0,0,0,0,0
3,2,2007-05-24,Pirates of the Caribbean: At World's End,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanatworldsend.jpg,http://www.imdb.com/title/tt0449088/?ref_=nv_sr_4,0,347469331,358380361,1115863503,768394172,7.1,5.5,0,0,0,1,0,1,0
1210,3,1963-06-12,Cleopatra,biggest_budgets,Biggest budgets,"Biography, Drama, History",Biography,cleopatra.jpg,http://www.rottentomatoes.com/m/1004330-cleopatra/,0,330582549,448647745,558841928,228259379,7,5.9,0,0,0,0,0,0,0
2,4,2015-12-18,Star Wars Ep. VII: The Force Awakens,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,starwarsepviitheforceawakens.jpg,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,0,311599273,953801530,2096332197,1784732924,8.2,8.2,0,0,0,0,0,0,0
4,5,2015-11-06,Spectre,biggest_budgets,Biggest budgets,"Action,Adventure,Thriller",Action,spectre.jpg,http://www.imdb.com/title/tt2379713/?ref_=nv_sr_1,0,304445596,203039005,892655721,588210125,6.8,6.4,0,0,0,0,0,0,0
9,6,2007-05-04,Spider-Man 3,biggest_budgets,Biggest budgets,"Action,Adventure,Romance",Action,spiderman3.jpg,http://www.imdb.com/title/tt0413300/?ref_=nv_sr_3,0,298823625,389779865,1031839486,733015861,6.2,6.2,0,0,1,0,0,1,0
34,7,1997-12-19,Titanic,biggest_budgets,Biggest budgets,"Drama, Romance",Drama,titanic.jpg,http://www.rottentomatoes.com/m/titanic/,0,298639802,983528828,3296409526,2997769724,7.7,8,0,0,0,0,0,0,0
5,8,2012-07-20,The Dark Knight Rises,biggest_budgets,Biggest budgets,"Action,Thriller",Action,thedarkknightrises.jpg,http://www.imdb.com/title/tt1345836/?ref_=nv_sr_1,0,289102656,471120742,1140051725,850949068,8.4,8,0,0,0,0,0,0,0
7,9,2012-03-09,John Carter,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,johncarter.jpg,http://www.imdb.com/title/tt0401729/?ref_=nv_sr_1,0,288739690,76708874,296906404,8166713,6.6,5.7,0,0,0,0,0,0,0
8,10,2010-11-24,Tangled,biggest_budgets,Biggest budgets,"Animation,Adventure,Comedy",Animation,tangled.jpg,http://www.imdb.com/title/tt0398286/?ref_=nv_sr_1,0,286201652,221059884,645695073,359493421,7.8,7.5,0,0,0,0,0,0,0
6,11,2013-07-02,The Lone Ranger,biggest_budgets,Biggest budgets,"Action,Adventure,Western",Action,theloneranger.jpg,http://www.imdb.com/title/tt1210819/?ref_=nv_sr_1,0,283543276,92076415,268079459,-15463816,6.5,4.8,0,0,1,1,0,1,0
14,12,2009-07-15,Harry Potter and the Half-Blood Prince,biggest_budgets,Biggest budgets,"Adventure,Family,Fantasy",Adventure,harrypotterandthehalfbloodprince.jpg,http://www.imdb.com/title/tt0417741/?ref_=nv_sr_1,0,279605156,337717394,1045816880,766211724,7.5,7.2,0,0,0,0,0,0,0
84,13,1995-07-28,Waterworld,biggest_budgets,Biggest budgets,"Action, Adventure, Sci-Fi",Action,waterworld.jpg,http://www.rottentomatoes.com/m/waterworld/,0,276388689,139372897,417340950,140952261,6.1,5.2,0,0,1,1,0,1,0
18,14,2006-06-28,Superman Returns,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,supermanreturns.jpg,http://www.imdb.com/title/tt0348150/?ref_=nv_sr_1,0,275396235,237552993,444058700,168662465,6.1,7,0,0,1,0,0,1,0
17,15,2011-05-20,Pirates of the Caribbean: On Stranger Tides,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanonstrangertides.jpg,http://www.imdb.com/title/tt1298650/?ref_=nv_sr_3,0,266472757,256947821,1114563742,848090985,6.7,5,0,0,0,1,0,1,0
21,16,2006-07-07,Pirates of the Caribbean: Dead Man's Chest,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeandeadmanschest.jpg,http://www.imdb.com/title/tt0383574/?ref_=nv_sr_5,0,266299386,501016625,1261922737,995623351,7.3,6,0,0,0,0,0,0,0
13,17,2012-12-14,The Hobbit: An Unexpected Journey,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitanunexpectedjourney.jpg,http://www.imdb.com/title/tt0903624/?ref_=nv_sr_1,0,262251689,317852790,1066843613,804591924,7.9,6.5,0,0,0,0,0,0,0
