day,temp_min,temp_max,summary,precipType,humidity,moon_phase,icon
2015-01-01,5.19,16.44,Despejado durante el día.,rain,0.58,0.38,clear-day
2015-01-02,5.33,15.17,Despejado durante el día.,rain,0.68,0.41,clear-day
2015-01-03,6.74,16.55,Despejado durante el día.,rain,0.62,0.45,clear-day
2015-01-04,6.11,17.52,Despejado durante el día.,rain,0.64,0.48,clear-day
2015-01-05,5.96,16.07,Despejado durante el día.,rain,0.72,0.52,clear-day
2015-01-06,6.03,16.14,Parcialmente nublado en la tarde.,rain,0.79,0.54,partly-cloudy-day
2015-01-07,6.99,16.66,Parcialmente nublado en la tarde.,rain,0.7,0.57,partly-cloudy-day
2015-01-08,6.03,17.16,Despejado durante el día.,rain,0.68,0.6,clear-day
2015-01-09,5.98,17.52,Despejado durante el día.,rain,0.63,0.63,clear-day
2015-01-10,5.24,16.6,Despejado durante el día.,rain,0.7,0.66,clear-day
2015-01-11,5.79,17.48,Parcialmente nublado en la tarde.,rain,0.75,0.69,partly-cloudy-day
2015-01-12,10.71,17.02,Mayormente nublado en la mañana.,rain,0.53,0.72,partly-cloudy-night
2015-01-13,9.46,16.08,Parcialmente nublado en la tarde.,rain,0.78,0.75,partly-cloudy-day
2015-01-14,9.58,17.38,Mayormente nublado en la mañana.,rain,0.81,0.79,partly-cloudy-night
2015-01-15,9.42,17.06,Parcialmente nublado en la tarde y pocos vientos en la noche.,rain,0.78,0.82,wind
2015-01-16,12.11,15.87,Mayormente nublado en la mañana.,rain,0.61,0.85,partly-cloudy-night
2015-01-17,9.21,14.67,Parcialmente nublado en la mañana.,rain,0.49,0.89,partly-cloudy-night
2015-01-18,5.92,12.52,Mayormente nublado en la mañana.,rain,0.58,0.92,partly-cloudy-night
2015-01-19,7.07,13.66,Mayormente nublado en la mañana.,rain,0.72,0.96,partly-cloudy-night
2015-01-20,6.21,12.79,Parcialmente nublado en la mañana.,rain,0.57,0.99,partly-cloudy-night
2015-01-21,7.03,12.66,Parcialmente nublado en la mañana.,rain,0.66,0.03,partly-cloudy-night
2015-01-22,8.78,14.54,Parcialmente nublado en la mañana.,rain,0.44,0.07,partly-cloudy-night
2015-01-23,8.98,15.99,Parcialmente nublado en la tarde.,rain,0.35,0.11,partly-cloudy-day
2015-01-24,6.04,14.78,Parcialmente nublado en la tarde.,rain,0.46,0.15,partly-cloudy-day
2015-01-25,7.07,16.17,Parcialmente nublado en la tarde.,rain,0.56,0.18,partly-cloudy-day
2015-01-26,6.11,15.92,Despejado durante el día.,rain,0.56,0.22,clear-day
2015-01-27,6.22,16.16,Parcialmente nublado en la mañana.,rain,0.67,0.26,partly-cloudy-night
2015-01-28,7.11,16.18,Despejado durante el día.,rain,0.68,0.29,clear-day
2015-01-29,5.82,16.66,Despejado durante el día.,rain,0.76,0.33,clear-day
2015-01-30,12.96,18.91,Mayormente nublado en la mañana y ventoso comenzando en la noche.,rain,0.76,0.36,wind
2015-01-31,10.74,18.14,Ventoso hasta en la tarde y mayormente nublado en la mañana.,rain,0.64,0.39,wind
2015-02-01,8.72,14.45,Pocos vientos y parcialmente nublado en la mañana.,rain,0.39,0.42,wind
2015-02-02,7.03,13.77,Parcialmente nublado en la mañana y pocos vientos comenzando en la noche.,rain,0.49,0.45,wind
2015-02-03,7.74,16.55,Mayormente nublado en la mañana.,rain,0.63,0.48,partly-cloudy-night
2015-02-04,8.22,13.31,Ventoso hasta en la tarde y parcialmente nublado en la tarde.,rain,0.43,0.52,wind
2015-02-05,6.64,12.66,Ventoso hasta en la tarde y parcialmente nublado en la mañana.,rain,0.3,0.55,wind
2015-02-06,5.88,12.91,Parcialmente nublado en la mañana.,rain,0.35,0.58,partly-cloudy-night
2015-02-07,4.81,13.08,Parcialmente nublado en la mañana.,rain,0.54,0.61,partly-cloudy-night
2015-02-08,5.74,12.71,Parcialmente nublado en la mañana.,rain,0.69,0.64,partly-cloudy-night
2015-02-09,4.22,14.52,Despejado durante el día.,rain,0.6,0.67,clear-day
2015-02-10,9.07,14.26,Parcialmente nublado en la mañana.,rain,0.61,0.7,partly-cloudy-night
2015-02-11,7.36,17.92,Parcialmente nublado en la mañana.,rain,0.61,0.73,partly-cloudy-night
2015-02-12,9.39,12.44,Mayormente nublado en la mañana.,rain,0.81,0.76,partly-cloudy-night
2015-02-13,2.78,14.98,Parcialmente nublado en la mañana.,rain,0.86,0.8,partly-cloudy-night
2015-02-14,9.34,15.04,Mayormente nublado en la mañana.,rain,0.74,0.83,partly-cloudy-night
2015-02-15,11.93,18.32,Pocos vientos y mayormente nublado en la mañana.,rain,0.68,0.87,wind
2015-02-16,10.93,15.96,Mayormente nublado en la tarde.,rain,0.68,0.9,partly-cloudy-day
2015-02-17,8.93,12.67,Nublado en la mañana.,rain,0.77,0.94,cloudy
2015-02-18,10.76,15.62,Parcialmente nublado en la mañana.,rain,0.69,0.98,partly-cloudy-night
2015-02-19,10.53,16.79,Parcialmente nublado en la mañana.,rain,0.58,0.02,partly-cloudy-night
2015-02-20,10.56,16.64,Parcialmente nublado en la tarde.,rain,0.62,0.06,partly-cloudy-day
2015-02-21,6.85,17.98,Parcialmente nublado en la mañana.,rain,0.69,0.09,partly-cloudy-night
2015-02-22,11.43,16.04,Parcialmente nublado en la tarde.,rain,0.55,0.13,partly-cloudy-day
2015-02-23,10.44,17.79,Mayormente nublado en la mañana y ventoso en la noche.,rain,0.64,0.17,wind
2015-02-24,12.19,18.69,Pocos vientos y parcialmente nublado en la mañana.,rain,0.46,0.2,wind
2015-02-25,11.81,17.61,Parcialmente nublado en la mañana.,rain,0.49,0.24,partly-cloudy-night
2015-02-26,11.89,19.04,Parcialmente nublado en la mañana y pocos vientos en la noche.,rain,0.61,0.27,wind
2015-02-27,13.27,19.33,Parcialmente nublado en la tarde.,rain,0.58,0.31,partly-cloudy-day
2015-02-28,10.15,18.1,Parcialmente nublado en la mañana.,rain,0.66,0.34,partly-cloudy-night
2015-03-01,8.35,17.34,Mayormente nublado en la mañana.,rain,0.82,0.37,partly-cloudy-night
2015-03-02,9.34,18.84,Nublado en la mañana.,rain,0.89,0.4,fog
2015-03-03,7.78,16.59,Nublado durante el día.,rain,0.93,0.43,fog
2015-03-04,11.91,16.28,Nublado hasta en la tarde.,rain,0.9,0.46,fog
2015-03-05,8.68,17.29,Parcialmente nublado en la mañana.,rain,0.46,0.49,partly-cloudy-night
2015-03-06,5.64,15.64,Despejado durante el día.,rain,0.4,0.52,clear-day
2015-03-07,6.59,16.88,Parcialmente nublado en la mañana.,rain,0.58,0.55,partly-cloudy-night
2015-03-08,6.68,20.22,Parcialmente nublado en la mañana.,rain,0.63,0.58,partly-cloudy-night
2015-03-09,7.18,16.8,Parcialmente nublado en la mañana.,rain,0.74,0.61,partly-cloudy-night
2015-03-10,7.16,17.74,Parcialmente nublado en la tarde.,rain,0.74,0.64,partly-cloudy-day
2015-03-11,8.43,19.33,Despejado durante el día.,rain,0.66,0.68,clear-day
2015-03-12,8.26,17.63,Parcialmente nublado en la mañana.,rain,0.83,0.71,partly-cloudy-night
2015-03-13,9.54,19.09,Despejado durante el día.,rain,0.76,0.75,clear-day
2015-03-14,10.57,15.71,Parcialmente nublado en la mañana.,rain,0.82,0.78,partly-cloudy-day
2015-03-15,10.66,16.84,Parcialmente nublado en la mañana.,rain,0.67,0.82,partly-cloudy-day
2015-03-16,8.62,16.1,Parcialmente nublado en la mañana.,rain,0.69,0.85,partly-cloudy-day
2015-03-17,10.76,17.4,Parcialmente nublado en la mañana.,rain,0.61,0.89,partly-cloudy-day
2015-03-18,10.05,14.93,Mayormente nublado en la mañana.,rain,0.76,0.93,partly-cloudy-day
2015-03-19,11.56,18.31,Mayormente nublado en la mañana y pocos vientos en la noche.,rain,0.67,0.97,wind
2015-03-20,10.94,17.44,Mayormente nublado en la mañana y ventoso hasta en la tarde.,rain,0.76,0.01,wind
2015-03-21,9.71,16.02,Mayormente nublado en la mañana.,rain,0.87,0.04,partly-cloudy-day
2015-03-22,10.69,16.67,Mayormente nublado en la mañana.,rain,0.85,0.08,partly-cloudy-day
2015-03-23,11.24,17.9,Parcialmente nublado en la mañana.,rain,0.78,0.12,partly-cloudy-day
2015-03-24,11.16,14.53,Mayormente nublado en la mañana.,rain,0.77,0.15,partly-cloudy-day
2015-03-25,10.18,16.09,Mayormente nublado en la mañana y pocos vientos en la noche.,rain,0.58,0.19,wind
2015-03-26,9.03,15.89,Parcialmente nublado en la mañana.,rain,0.48,0.22,partly-cloudy-day
2015-03-27,12.08,18.61,Parcialmente nublado en la mañana.,rain,0.76,0.25,partly-cloudy-day
2015-03-28,12.36,20.21,Parcialmente nublado en la tarde.,rain,0.79,0.29,partly-cloudy-day
2015-03-29,11.77,21.94,Parcialmente nublado en la mañana.,rain,0.77,0.32,partly-cloudy-day
2015-03-30,12.36,22.99,Parcialmente nublado en la mañana.,rain,0.76,0.35,partly-cloudy-day
2015-03-31,13.25,24.43,Parcialmente nublado en la mañana.,rain,0.75,0.38,partly-cloudy-day
2015-04-01,14.36,25.75,Parcialmente nublado en la mañana.,rain,0.56,0.41,partly-cloudy-day
2015-04-02,13,21.79,Parcialmente nublado en la mañana.,rain,0.58,0.44,partly-cloudy-day
2015-04-03,11.93,18.84,Mayormente nublado en la tarde.,rain,0.79,0.47,partly-cloudy-day
